city,year,weekofyear,total_cases
sj,2008,18,11
sj,2008,19,12
sj,2008,20,12
sj,2008,21,12
sj,2008,22,11
sj,2008,23,12
sj,2008,24,11
sj,2008,25,12
sj,2008,26,14
sj,2008,27,16
sj,2008,28,11
sj,2008,29,13
sj,2008,30,13
sj,2008,31,15
sj,2008,32,22
sj,2008,33,26
sj,2008,34,32
sj,2008,35,37
sj,2008,36,33
sj,2008,37,38
sj,2008,38,43
sj,2008,39,42
sj,2008,40,41
sj,2008,41,39
sj,2008,42,38
sj,2008,43,39
sj,2008,44,42
sj,2008,45,32
sj,2008,46,39
sj,2008,47,35
sj,2008,48,41
sj,2008,49,41
sj,2008,50,39
sj,2008,51,32
sj,2008,52,32
sj,2009,1,26
sj,2009,2,26
sj,2009,3,26
sj,2009,4,26
sj,2009,5,26
sj,2009,6,25
sj,2009,7,20
sj,2009,8,19
sj,2009,9,16
sj,2009,10,14
sj,2009,11,14
sj,2009,12,12
sj,2009,13,11
sj,2009,14,13
sj,2009,15,12
sj,2009,16,12
sj,2009,17,11
sj,2009,18,10
sj,2009,19,12
sj,2009,20,13
sj,2009,21,13
sj,2009,22,12
sj,2009,23,11
sj,2009,24,11
sj,2009,25,14
sj,2009,26,12
sj,2009,27,12
sj,2009,28,15
sj,2009,29,15
sj,2009,30,16
sj,2009,31,16
sj,2009,32,20
sj,2009,33,26
sj,2009,34,29
sj,2009,35,32
sj,2009,36,33
sj,2009,37,41
sj,2009,38,41
sj,2009,39,39
sj,2009,40,34
sj,2009,41,36
sj,2009,42,38
sj,2009,43,32
sj,2009,44,34
sj,2009,45,35
sj,2009,46,33
sj,2009,47,33
sj,2009,48,40
sj,2009,49,39
sj,2009,50,33
sj,2009,51,39
sj,2009,52,32
sj,2010,53,40
sj,2010,1,26
sj,2010,2,26
sj,2010,3,26
sj,2010,4,26
sj,2010,5,26
sj,2010,6,24
sj,2010,7,19
sj,2010,8,17
sj,2010,9,16
sj,2010,10,15
sj,2010,11,10
sj,2010,12,10
sj,2010,13,9
sj,2010,14,9
sj,2010,15,11
sj,2010,16,11
sj,2010,17,14
sj,2010,18,12
sj,2010,19,11
sj,2010,20,15
sj,2010,21,14
sj,2010,22,15
sj,2010,23,15
sj,2010,24,13
sj,2010,25,15
sj,2010,26,14
sj,2010,27,14
sj,2010,28,14
sj,2010,29,15
sj,2010,30,16
sj,2010,31,14
sj,2010,32,21
sj,2010,33,24
sj,2010,34,35
sj,2010,35,37
sj,2010,36,38
sj,2010,37,32
sj,2010,38,38
sj,2010,39,36
sj,2010,40,42
sj,2010,41,38
sj,2010,42,38
sj,2010,43,32
sj,2010,44,41
sj,2010,45,36
sj,2010,46,41
sj,2010,47,32
sj,2010,48,33
sj,2010,49,39
sj,2010,50,32
sj,2010,51,32
sj,2011,52,45
sj,2011,1,26
sj,2011,2,26
sj,2011,3,26
sj,2011,4,26
sj,2011,5,26
sj,2011,6,25
sj,2011,7,20
sj,2011,8,18
sj,2011,9,18
sj,2011,10,13
sj,2011,11,11
sj,2011,12,11
sj,2011,13,12
sj,2011,14,11
sj,2011,15,12
sj,2011,16,11
sj,2011,17,12
sj,2011,18,13
sj,2011,19,14
sj,2011,20,12
sj,2011,21,14
sj,2011,22,15
sj,2011,23,15
sj,2011,24,16
sj,2011,25,15
sj,2011,26,17
sj,2011,27,16
sj,2011,28,16
sj,2011,29,16
sj,2011,30,17
sj,2011,31,17
sj,2011,32,22
sj,2011,33,28
sj,2011,34,35
sj,2011,35,31
sj,2011,36,36
sj,2011,37,38
sj,2011,38,32
sj,2011,39,40
sj,2011,40,40
sj,2011,41,33
sj,2011,42,33
sj,2011,43,32
sj,2011,44,36
sj,2011,45,36
sj,2011,46,32
sj,2011,47,33
sj,2011,48,32
sj,2011,49,35
sj,2011,50,40
sj,2011,51,37
sj,2012,52,38
sj,2012,1,26
sj,2012,2,26
sj,2012,3,26
sj,2012,4,26
sj,2012,5,26
sj,2012,6,25
sj,2012,7,20
sj,2012,8,18
sj,2012,9,17
sj,2012,10,13
sj,2012,11,11
sj,2012,12,13
sj,2012,13,14
sj,2012,14,12
sj,2012,15,11
sj,2012,16,9
sj,2012,17,11
sj,2012,18,12
sj,2012,19,12
sj,2012,20,14
sj,2012,21,10
sj,2012,22,10
sj,2012,23,12
sj,2012,24,13
sj,2012,25,13
sj,2012,26,15
sj,2012,27,15
sj,2012,28,17
sj,2012,29,16
sj,2012,30,17
sj,2012,31,17
sj,2012,32,24
sj,2012,33,25
sj,2012,34,29
sj,2012,35,33
sj,2012,36,39
sj,2012,37,38
sj,2012,38,34
sj,2012,39,32
sj,2012,40,38
sj,2012,41,42
sj,2012,42,37
sj,2012,43,39
sj,2012,44,32
sj,2012,45,41
sj,2012,46,40
sj,2012,47,34
sj,2012,48,33
sj,2012,49,35
sj,2012,50,32
sj,2012,51,32
sj,2013,1,26
sj,2013,2,26
sj,2013,3,26
sj,2013,4,26
sj,2013,5,26
sj,2013,6,25
sj,2013,7,20
sj,2013,8,18
sj,2013,9,17
sj,2013,10,14
sj,2013,11,12
sj,2013,12,13
sj,2013,13,11
sj,2013,14,10
sj,2013,15,11
sj,2013,16,11
sj,2013,17,12
iq,2010,26,5
iq,2010,27,2
iq,2010,28,6
iq,2010,29,2
iq,2010,30,2
iq,2010,31,2
iq,2010,32,2
iq,2010,33,1
iq,2010,34,1
iq,2010,35,1
iq,2010,36,2
iq,2010,37,1
iq,2010,38,3
iq,2010,39,1
iq,2010,40,1
iq,2010,41,2
iq,2010,42,7
iq,2010,43,6
iq,2010,44,6
iq,2010,45,6
iq,2010,46,6
iq,2010,47,6
iq,2010,48,7
iq,2010,49,6
iq,2010,50,6
iq,2010,51,1
iq,2011,52,4
iq,2011,1,2
iq,2011,2,5
iq,2011,3,5
iq,2011,4,2
iq,2011,5,4
iq,2011,6,7
iq,2011,7,6
iq,2011,8,7
iq,2011,9,6
iq,2011,10,6
iq,2011,11,6
iq,2011,12,7
iq,2011,13,6
iq,2011,14,6
iq,2011,15,6
iq,2011,16,5
iq,2011,17,6
iq,2011,18,6
iq,2011,19,2
iq,2011,20,2
iq,2011,21,4
iq,2011,22,2
iq,2011,23,2
iq,2011,24,2
iq,2011,25,2
iq,2011,26,2
iq,2011,27,2
iq,2011,28,2
iq,2011,29,2
iq,2011,30,1
iq,2011,31,2
iq,2011,32,2
iq,2011,33,2
iq,2011,34,2
iq,2011,35,1
iq,2011,36,1
iq,2011,37,2
iq,2011,38,1
iq,2011,39,4
iq,2011,40,3
iq,2011,41,6
iq,2011,42,6
iq,2011,43,6
iq,2011,44,5
iq,2011,45,6
iq,2011,46,6
iq,2011,47,6
iq,2011,48,6
iq,2011,49,6
iq,2011,50,7
iq,2011,51,6
iq,2012,52,5
iq,2012,1,6
iq,2012,2,7
iq,2012,3,4
iq,2012,4,2
iq,2012,5,7
iq,2012,6,6
iq,2012,7,4
iq,2012,8,2
iq,2012,9,2
iq,2012,10,5
iq,2012,11,2
iq,2012,12,2
iq,2012,13,7
iq,2012,14,4
iq,2012,15,6
iq,2012,16,6
iq,2012,17,6
iq,2012,18,7
iq,2012,19,2
iq,2012,20,5
iq,2012,21,2
iq,2012,22,2
iq,2012,23,2
iq,2012,24,2
iq,2012,25,2
iq,2012,26,2
iq,2012,27,2
iq,2012,28,2
iq,2012,29,2
iq,2012,30,2
iq,2012,31,2
iq,2012,32,1
iq,2012,33,1
iq,2012,34,2
iq,2012,35,1
iq,2012,36,1
iq,2012,37,1
iq,2012,38,1
iq,2012,39,1
iq,2012,40,2
iq,2012,41,5
iq,2012,42,4
iq,2012,43,6
iq,2012,44,6
iq,2012,45,6
iq,2012,46,6
iq,2012,47,7
iq,2012,48,6
iq,2012,49,6
iq,2012,50,5
iq,2012,51,6
iq,2013,1,6
iq,2013,2,2
iq,2013,3,2
iq,2013,4,7
iq,2013,5,5
iq,2013,6,5
iq,2013,7,7
iq,2013,8,6
iq,2013,9,6
iq,2013,10,6
iq,2013,11,7
iq,2013,12,7
iq,2013,13,6
iq,2013,14,7
iq,2013,15,6
iq,2013,16,6
iq,2013,17,6
