,0
0,3
1,0
2,4
3,1
4,4
5,0
6,1
7,1
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,8
16,3
17,4
18,4
19,1
20,2
21,7
22,4
23,9
24,9
25,0
26,2
27,5
28,3
29,3
30,0
31,1
32,3
33,7
34,12
35,5
36,7
37,1
38,9
39,12
40,8
41,2
42,8
43,6
44,7
45,0
46,5
47,4
48,1
49,3
50,2
51,0
52,5
53,1
54,0
55,0
56,0
57,1
58,3
59,3
60,2
61,2
62,0
63,0
64,0
65,1
66,1
67,1
68,12
69,0
70,1
71,0
72,5
73,11
74,6
75,6
76,3
77,2
78,9
79,5
80,2
81,0
82,0
83,5
84,13
85,0
86,1
87,1
88,8
89,0
90,0
91,2
92,0
93,3
94,2
95,3
96,3
97,4
98,8
99,2
100,9
101,0
102,3
103,0
104,0
105,0
106,0
107,0
108,3
109,0
110,4
111,4
112,2
113,0
114,0
115,0
116,0
117,10
118,3
119,14
120,1
121,10
122,17
123,8
124,2
125,7
126,8
127,6
128,7
129,5
130,16
131,0
132,1
133,15
134,1
135,4
136,6
137,16
138,1
139,7
140,12
141,2
142,10
143,5
144,6
145,6
146,4
147,3
148,2
149,13
150,0
151,1
152,0
153,0
154,1
155,8
