,0
0,9765625
1,73390
2,33033410
3,248832
4,1298919
5,1996902
6,34616197
7,234266394
8,12582841
9,1338278
10,59049
11,4282321
12,8648666
13,51038302
14,953674316
15,8947346861
16,785027
17,37388562
18,3486784401
19,11095035864
20,25963779
21,130691232
22,30041505
23,4488165
24,70286116
25,35157064
26,5895792
27,1692739349
28,5271829
29,19471951
30,37388562
31,3800596
32,9924
33,8129900
34,2109060
35,1641308
36,12345436
37,4384277
38,33033410
39,406493004
40,5392186
41,7320824
42,176234
43,2967092
44,110408
45,6891794
46,2348492
47,153862
48,18152321
49,11881376
50,14888279
51,3043168
52,597971
53,2471758
54,40335776
55,6161326
56,771141564
57,1889568
58,6436343
59,463432327
60,1142549512
61,10510100501
62,472062115
63,459165024
64,41565435
65,752023303
66,309387475
67,60466176
68,111679136
69,35704672
70,1290744837
71,4437053125
72,6070757653
73,176471384
74,817265414
75,617693611
76,351843720
77,51038302
78,37388562
79,6721093
80,400746
81,1948391936
82,22341384
83,2348492
84,140255
85,197162453
86,33033410
87,33033410
88,1786899
89,28629151
90,21965275
91,48875979
92,4811701
93,1737266
94,210479536
95,35157064
96,44114717
97,5895792
98,178458655
99,2541949
100,281530
101,2052369
102,2109060
103,83494164
104,18802876
105,21228253
106,87934364
107,23500728
108,108962012
109,24707709
110,886959032
111,1692739349
112,262866748
113,5158465506
114,9962506
115,9461967630
116,36820357
117,36420746415
118,72201157
119,8856234109
120,3684847413
121,131455048060
122,2294992992
123,9606349004
124,1169243442
125,147008443
126,3443949732
127,727124090
128,17233533666
129,150459195
130,640973
131,8827351
132,16015681
133,1411670956
134,10782039
135,31509057
136,15443751
137,309387475
138,2892546
139,8827351
140,97381381
141,148725812
142,489707360
143,3043168
144,777600000
145,1786899
146,5037563
147,2747948
148,48171726
149,67489947
150,5766503
151,238635
152,385794
153,1942642
154,22341384
155,146932
156,5037563
157,63900891
158,3620506
159,3533058
160,19813556
161,63027941
162,16015681
163,24471235599
164,23564248541
165,4257335470
166,33561946440
167,8153726976
168,25963779
169,59172492812
170,1519219683
171,36140372488
172,1586830255
173,53208624313
174,291228984
175,24707709
176,93748159
177,215074985
178,63656507769
179,24779692656
180,249539604
181,894660
182,66577935
183,164916224
184,2348492
185,42824902
186,74157714
187,239271905
188,2824
189,51775837
190,14888279
191,8472886
192,30770
193,557308
194,4488165
195,406493004
196,268354383
197,10572278
198,9962506
199,3280804
200,9008978
201,1942642
202,619173
203,11942431
204,293162
205,10995116
206,257469258
207,3363232
208,2411620
209,72201157
210,3709677
211,12823885
212,78198072
213,25539544
214,148725812
215,14091179726
216,824030820
217,279604589
218,2058911320
219,241806542
220,2325964109
221,6808554738
222,84587004
223,90224199
224,3363232
225,26393634
226,16015681
227,21594248
228,40226670491
229,1224128044
230,894181787
231,3709677
232,7636331
233,1497202379
234,16604430
235,1242873914
236,281530
237,19813556
238,10365794
239,5514730
240,32518881
241,115927
242,1245379
243,4182272
244,2411620
245,17210368
246,67489947
247,7015833
248,33033410
249,1462111
250,248832
251,3800596
252,2024483
253,3120796
254,14888279
255,238635
256,414265112
257,12823885
258,2819506
259,11431376
