,year,weekofyear,precipitation_amt_mm,reanalysis_air_temp_k,reanalysis_avg_temp_k,reanalysis_dew_point_temp_k,reanalysis_max_air_temp_k,reanalysis_min_air_temp_k,reanalysis_precip_amt_kg_per_m2,reanalysis_relative_humidity_percent,reanalysis_sat_precip_amt_mm,reanalysis_specific_humidity_g_per_kg,reanalysis_tdtr_k,station_avg_temp_c,station_diur_temp_rng_c,station_max_temp_c,station_min_temp_c,station_precip_mm
936,2000,26,25.41,296.74,298.45,295.184285714,307.3,293.1,43.19,92.4185714286,25.41,16.6514285714,8.92857142857,26.4,10.775,32.5,20.7,3.0
937,2000,27,60.61,296.63428571400004,298.428571429,295.358571429,306.6,291.1,46.0,93.5814285714,60.61,16.8628571429,10.314285714299999,26.9,11.566666666700002,34.0,20.8,55.6
938,2000,28,55.52,296.41571428599997,297.392857143,295.622857143,304.5,292.6,64.77,95.84857142860001,55.52,17.12,7.385714285710001,26.8,11.4666666667,33.0,20.7,38.1
939,2000,29,5.6,295.357142857,296.228571429,292.797142857,303.6,288.6,23.96,87.2342857143,5.6,14.431428571400001,9.114285714289998,25.7666666667,10.5333333333,31.5,14.7,30.0
940,2000,30,62.76,296.432857143,297.635714286,293.957142857,307.0,291.5,31.8,88.1614285714,62.76,15.444285714300001,9.5,26.6,11.48,33.3,19.1,4.0
941,2000,31,16.24,297.19142857099996,298.285714286,291.72571428599997,306.2,288.5,1.0,74.72857142859999,16.24,13.421428571400002,13.771428571400001,25.34,10.94,32.0,17.0,11.5
942,2000,32,89.37,297.32,298.978571429,293.821428571,308.8,292.1,26.68,83.27571428569999,89.37,15.3114285714,11.4714285714,27.0166666667,11.65,34.0,19.9,72.9
943,2000,33,42.08,297.627142857,299.335714286,293.992857143,307.9,290.6,16.9,82.49,42.08,15.465714285699999,13.7,26.5833333333,10.3166666667,33.0,20.5,50.1
944,2000,34,49.22,298.238571429,299.571428571,292.904285714,310.1,291.3,5.59,74.74,49.22,14.444285714300001,13.771428571400001,26.9,13.4,34.0,19.0,89.2
945,2000,35,53.65,299.218571429,300.928571429,293.472857143,310.5,292.9,16.07,74.1514285714,53.65,15.0571428571,12.457142857100001,27.116666666700002,12.2666666667,34.0,20.0,78.0
946,2000,36,23.12,300.802857143,301.935714286,290.635714286,312.8,291.5,2.5,57.7871428571,23.12,12.6528571429,14.9,28.366666666700002,12.9,35.8,21.7,56.9
947,2000,37,34.62,299.858571429,301.37142857099997,293.64,310.7,292.3,4.1,71.66,34.62,15.2271428571,13.857142857100001,27.425,12.775,34.5,20.5,18.9
